country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,injury_time_1,injury_time_2,start_timestamp,status,home_score_current,home_score_display,home_score_period1,home_score_period2,home_score_normaltime,away_score_current,away_score_display,away_score_period1,away_score_period2,away_score_normaltime
USA,"USL, League Two",2026,1,15587486,San Francisco City,253178,CA San Juan FC,294927,,,1777845600,Ended,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587487,CA San Juan FC,294927,Davis Legacy,407739,,,1778205600,Ended,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587490,Philadelphia Lone Star,419436,West Chester United,419461,,,1778356800,Interrupted,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587488,Project 51O,341750,Academica SC,313606,,,1778356800,Ended,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587491,Boston City FC,253850,New England FC,1077315,,,1778364000,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
USA,"USL, League Two",2026,1,15587492,Virginia Beach United,316282,Lionsbridge FC,284085,,,1778367600,Ended,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587494,Apotheos FC,414152,Columbus United FC,510443,,,1778369400,Ended,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587495,Almaden FC,507372,San Francisco City,253178,,,1778371200,Ended,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587496,Saint Louis Ambush,1077482,Peoria City,380878,,,1778371200,Ended,1.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587497,Fort Worth Vaqueros,313656,Denton Diablos,313622,,,1778373000,Ended,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0
USA,"USL, League Two",2026,1,15587498,FC Olympia,407749,Bangers FC,1090012,,,1778376600,Ended,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587502,Loudoun United FC 2,1173420,Christos FC,253848,,,1778454000,Ended,4.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,3.0,5.0
