country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,home_score_period1,home_score_period2,home_score_normaltime,home_score_display,home_score_current,away_score_period1,away_score_period2,away_score_normaltime,away_score_display,away_score_current,start_timestamp,status
USA,"USL, League One",2019,,8174727,Richmond Kickers,23841,Lansing Ignite FC,312634,0,2,2,2,2,2,1,3,3,3,1553979600,Ended
USA,"USL, League One",2019,1,8181444,Richmond Kickers,23841,South Georgia Tormenta FC,253417,0,0,0,0,0,0,0,0,0,0,1554584400,Ended
USA,"USL, League One",2019,1,8188116,Lansing Ignite FC,312634,Richmond Kickers,23841,0,3,3,3,3,0,1,1,1,1,1555196400,Ended
USA,"USL, League One",2019,1,8194006,Greenville Triumph SC,312633,Richmond Kickers,23841,0,0,0,0,0,0,1,1,1,1,1555801200,Ended
USA,"USL, League One",2019,1,8199789,Richmond Kickers,23841,Chattanooga Red Wolves SC,312631,0,1,1,1,1,0,0,0,0,0,1556406000,Ended
USA,"USL, League One",2019,1,8205249,Richmond Kickers,23841,Lansing Ignite FC,312634,1,1,2,2,2,0,2,2,2,2,1557010800,Ended
USA,"USL, League One",2019,1,8210360,Richmond Kickers,23841,FC Tucson,100013,0,2,2,2,2,0,0,0,0,0,1557615600,Ended
USA,"USL, League One",2019,1,8216563,Greenville Triumph SC,312633,Richmond Kickers,23841,1,0,1,1,1,0,0,0,0,0,1558220400,Ended
USA,"USL, League One",2019,1,8219837,Orlando City B,220945,Richmond Kickers,23841,2,1,3,3,3,1,1,2,2,2,1558567800,Ended
USA,"USL, League One",2019,1,8227325,Richmond Kickers,23841,North Texas SC,312635,0,0,0,0,0,1,2,3,3,3,1559430000,Ended
USA,"USL, League One",2019,1,8232328,FC Tucson,100013,Richmond Kickers,23841,0,0,0,0,0,0,0,0,0,0,1560047400,Ended
USA,"USL, League One",2019,1,8239779,Richmond Kickers,23841,Chattanooga Red Wolves SC,312631,0,0,0,0,0,0,2,2,2,2,1560639600,Ended
USA,"USL, League One",2019,1,8248227,South Georgia Tormenta FC,253417,Richmond Kickers,23841,0,1,1,1,1,0,0,0,0,0,1561248000,Ended
USA,"USL, League One",2019,1,8262120,Chattanooga Red Wolves SC,312631,Richmond Kickers,23841,1,0,1,1,1,0,0,0,0,0,1561849200,Ended
USA,"USL, League One",2019,1,8288208,Richmond Kickers,23841,North Texas SC,312635,0,0,0,0,0,2,0,2,2,2,1563058800,Ended
USA,"USL, League One",2019,1,8302938,Richmond Kickers,23841,Orlando City B,220945,0,1,1,1,1,0,0,0,0,0,1563663600,Ended
USA,"USL, League One",2019,1,8318026,Toronto FC II,217784,Richmond Kickers,23841,1,0,1,1,1,1,1,2,2,2,1564171200,Ended
USA,"USL, League One",2019,1,8344265,Forward Madison FC,312632,Richmond Kickers,23841,0,0,0,0,0,0,1,1,1,1,1565481600,Ended
USA,"USL, League One",2019,1,8355155,Richmond Kickers,23841,Toronto FC II,217784,2,0,2,2,2,0,2,2,2,2,1566082800,Ended
USA,"USL, League One",2019,1,8364818,Forward Madison FC,312632,Richmond Kickers,23841,0,1,1,1,1,0,0,0,0,0,1566691200,Ended
USA,"USL, League One",2019,1,8381803,South Georgia Tormenta FC,253417,Richmond Kickers,23841,1,0,1,1,1,3,1,4,4,4,1567296000,Ended
USA,"USL, League One",2019,1,8393529,Richmond Kickers,23841,Greenville Triumph SC,312633,1,,1,1,1,0,,0,0,0,1567897200,Ended
USA,"USL, League One",2019,1,8397368,North Texas SC,312635,Richmond Kickers,23841,2,,4,4,4,0,,0,0,0,1568160000,Ended
USA,"USL, League One",2019,1,8401701,Richmond Kickers,23841,Forward Madison FC,312632,0,,0,0,0,1,,1,1,1,1568502000,Ended
USA,"USL, League One",2019,1,8411083,FC Tucson,100013,Richmond Kickers,23841,0,,0,0,0,0,,0,0,0,1569119400,Ended
USA,"USL, League One",2019,1,8421743,Chattanooga Red Wolves SC,312631,Richmond Kickers,23841,2,,2,2,2,0,,1,1,1,1569711600,Ended
USA,"USL, League One",2019,,8428969,Richmond Kickers,23841,Toronto FC II,217784,1,0,1,1,1,1,1,2,2,2,1570057200,Ended
USA,"USL, League One",2019,1,8433453,Richmond Kickers,23841,Orlando City B,220945,2,,2,2,2,0,,0,0,0,1570316400,Ended
USA,"USL, League One",2020,1,8749837,South Georgia Tormenta FC,253417,Richmond Kickers,23841,,,,,,,,,,,1595116800,Canceled
USA,"USL, League One",2020,1,8789653,Greenville Triumph SC,312633,Richmond Kickers,23841,1,2,3,3,3,1,1,2,2,2,1595718000,Ended
USA,"USL, League One",2020,1,8804064,South Georgia Tormenta FC,253417,Richmond Kickers,23841,0,0,0,0,0,0,0,0,0,0,1595977200,Ended
USA,"USL, League One",2020,1,8789654,Richmond Kickers,23841,Fort Lauderdale,338004,,,,,,,,,,,1596319200,Canceled
USA,"USL, League One",2020,1,8809071,Richmond Kickers,23841,Forward Madison FC,312632,1,,1,1,1,0,,0,0,0,1596925800,Ended
USA,"USL, League One",2020,1,8809087,Richmond Kickers,23841,FC Tucson,100013,2,0,2,2,2,0,1,1,1,1,1597530600,Ended
USA,"USL, League One",2020,1,8809117,New England Revolution II,338005,Richmond Kickers,23841,0,,1,1,1,0,,2,2,2,1598050800,Ended
USA,"USL, League One",2020,1,8809135,Richmond Kickers,23841,Greenville Triumph SC,312633,2,,2,2,2,1,,1,1,1,1598740200,Ended
