country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,home_score_period1,home_score_period2,home_score_normaltime,home_score_display,home_score_current,away_score_period1,away_score_period2,away_score_normaltime,away_score_display,away_score_current,start_timestamp,status
USA,USL Super League Women,24/25,,13474798,Carolina Ascent,507682,Lexington SC,465515,0,1,1,1,1,0,1,1,1,1,1724610600,Ended
USA,USL Super League Women,24/25,,13474850,Lexington SC,465515,Tampa Bay Sun FC,1112821,0,1,1,2,2,2,1,3,3,3,1725825600,Ended
USA,USL Super League Women,24/25,,13474836,Dallas Trinity,938069,Lexington SC,465515,2,4,6,6,6,1,1,2,2,2,1726272000,Ended
USA,USL Super League Women,24/25,,13474821,Lexington SC,465515,Fort Lauderdale United,1041471,0,1,1,1,1,1,2,3,3,3,1727035200,Ended
USA,USL Super League Women,24/25,,13474806,Brooklyn FC,938778,Lexington SC,465515,0,1,1,1,1,0,0,0,0,0,1727566200,Ended
USA,USL Super League Women,24/25,,13475097,Lexington SC,465515,Carolina Ascent,507682,0,1,1,1,1,1,0,1,1,1,1728244800,Ended
USA,USL Super League Women,24/25,,13474963,Spokane Zephyr FC,938068,Lexington SC,465515,1,1,2,2,2,1,2,3,3,3,1728853200,Ended
USA,USL Super League Women,24/25,,13475014,Fort Lauderdale United,1041471,Lexington SC,465515,1,0,1,1,1,1,1,2,2,2,1729380600,Ended
USA,USL Super League Women,24/25,,13475057,DC Power FC,938777,Lexington SC,465515,0,2,2,2,2,1,0,1,1,1,1729899000,Ended
USA,USL Super League Women,24/25,,13474846,Tampa Bay Sun FC,1112821,Lexington SC,465515,0,3,3,3,3,0,1,1,1,1,1730588400,Ended
USA,USL Super League Women,24/25,,13105338,Lexington SC,465515,Dallas Trinity,938069,1,1,2,2,2,0,3,3,3,3,1731196800,Ended
USA,USL Super League Women,24/25,,13120103,Lexington SC,465515,Spokane Zephyr FC,938068,0,1,1,1,1,1,0,1,1,1,1731542400,Ended
USA,USL Super League Women,24/25,,13205634,Lexington SC,465515,Brooklyn FC,938778,0,0,0,0,0,1,2,3,3,3,1733616000,Ended
USA,USL Super League Women,24/25,,13228634,Lexington SC,465515,DC Power FC,938777,1,2,3,3,3,0,0,0,0,0,1734195600,Ended
